gl_number,model_reaction_id,reaction_name,subsystem,gene_reaction_rule
1003096,r_3785,"phosphatidylcholine (1-16:0, 2-18:1) transport, ER membrane-mitochondrial membrane","Transport [erm, mm]",
1003097,r_3786,"phosphatidylcholine (1-16:1, 2-18:1) transport, ER membrane-mitochondrial membrane","Transport [erm, mm]",
1003098,r_3787,"phosphatidylcholine (1-18:0, 2-18:1) transport, ER membrane-mitochondrial membrane","Transport [erm, mm]",
1003099,r_3788,"phosphatidylcholine (1-18:1, 2-18:1) transport, ER membrane-mitochondrial membrane","Transport [erm, mm]",
1003100,r_3789,"diglyceride (1-16:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003101,r_3790,"diglyceride (1-16:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003102,r_3791,"diglyceride (1-18:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003103,r_3792,"diglyceride (1-18:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003104,r_3793,"diglyceride (1-16:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003105,r_3794,"diglyceride (1-16:1, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003106,r_3795,"diglyceride (1-18:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003107,r_3796,"diglyceride (1-18:1, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003108,r_3797,"phosphatidate (1-16:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003109,r_3798,"phosphatidate (1-16:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003110,r_3799,"phosphatidate (1-18:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003111,r_3800,"phosphatidate (1-18:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003112,r_3801,"phosphatidate (1-16:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003113,r_3802,"phosphatidate (1-16:1, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003114,r_3803,"phosphatidate (1-18:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003115,r_3804,"phosphatidate (1-18:1, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003116,r_3805,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003117,r_3806,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003118,r_3807,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003119,r_3808,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003120,r_3809,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003121,r_3810,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003122,r_3811,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003123,r_3812,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",
1003124,r_3813,"phosphatidyl-L-serine (1-16:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",YIL048W or YMR162C
1003125,r_3814,"phosphatidyl-L-serine (1-16:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",YIL048W or YMR162C
1003126,r_3815,"phosphatidyl-L-serine (1-18:0, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",YIL048W or YMR162C
1003127,r_3816,"phosphatidyl-L-serine (1-18:1, 2-16:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",YIL048W or YMR162C
1003128,r_3817,"phosphatidyl-L-serine (1-16:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",YIL048W or YMR162C
1003129,r_3818,"phosphatidyl-L-serine (1-16:1, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",YIL048W or YMR162C
1003130,r_3819,"phosphatidyl-L-serine (1-18:0, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",YIL048W or YMR162C
1003131,r_3820,"phosphatidyl-L-serine (1-18:1, 2-18:1) transport, ER membrane-Golgi membrane","Transport [erm, gm]",YIL048W or YMR162C
1003132,r_3821,"phosphatidylethanolamine (1-16:0, 2-16:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",YAL026C
1003133,r_3822,"phosphatidylethanolamine (1-16:1, 2-16:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",YAL026C
1003134,r_3823,"phosphatidylethanolamine (1-18:0, 2-16:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",YAL026C
1003135,r_3824,"phosphatidylethanolamine (1-18:1, 2-16:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",YAL026C
1003136,r_3825,"phosphatidylethanolamine (1-16:0, 2-18:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",YAL026C
1003137,r_3826,"phosphatidylethanolamine (1-16:1, 2-18:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",YAL026C
1003138,r_3827,"phosphatidylethanolamine (1-18:0, 2-18:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",YAL026C
1003139,r_3828,"phosphatidylethanolamine (1-18:1, 2-18:1) transport, Golgi membrane-ER membrane","Transport [erm, gm]",YAL026C
1003140,r_3829,"phosphatidate (1-16:0, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003141,r_3830,"phosphatidate (1-16:1, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003142,r_3831,"phosphatidate (1-18:0, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003143,r_3832,"phosphatidate (1-18:1, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003144,r_3833,"phosphatidate (1-16:0, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003145,r_3834,"phosphatidate (1-16:1, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003146,r_3835,"phosphatidate (1-18:0, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003147,r_3836,"phosphatidate (1-18:1, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003148,r_3837,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003149,r_3838,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003150,r_3839,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003151,r_3840,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003152,r_3841,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003153,r_3842,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003154,r_3843,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003155,r_3844,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003156,r_3845,"phosphatidyl-L-serine (1-16:0, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003157,r_3846,"phosphatidyl-L-serine (1-16:1, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003158,r_3847,"phosphatidyl-L-serine (1-18:0, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003159,r_3848,"phosphatidyl-L-serine (1-18:1, 2-16:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003160,r_3849,"phosphatidyl-L-serine (1-16:0, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003161,r_3850,"phosphatidyl-L-serine (1-16:1, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003162,r_3851,"phosphatidyl-L-serine (1-18:0, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003163,r_3852,"phosphatidyl-L-serine (1-18:1, 2-18:1) transport, ER membrane-vacuolar membrane","Transport [erm, vm]",
1003164,r_3853,"phosphatidylethanolamine (1-16:0, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003165,r_3854,"phosphatidylethanolamine (1-16:1, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003166,r_3855,"phosphatidylethanolamine (1-18:0, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003167,r_3856,"phosphatidylethanolamine (1-18:1, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003168,r_3857,"phosphatidylethanolamine (1-16:0, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003169,r_3858,"phosphatidylethanolamine (1-16:1, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003170,r_3859,"phosphatidylethanolamine (1-18:0, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003171,r_3860,"phosphatidylethanolamine (1-18:1, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003172,r_3861,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003173,r_3862,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003174,r_3863,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003175,r_3864,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003176,r_3865,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003177,r_3866,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003178,r_3867,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003179,r_3868,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1) transport, vacuolar membrane-ER membrane","Transport [erm, vm]",
1003180,r_3869,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003181,r_3870,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003182,r_3871,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003183,r_3872,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003184,r_3873,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003185,r_3874,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003186,r_3875,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003187,r_3876,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003188,r_3877,"phosphatidylcholine (1-16:0, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003189,r_3878,"phosphatidylcholine (1-16:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003190,r_3879,"phosphatidylcholine (1-18:0, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003191,r_3880,"phosphatidylcholine (1-18:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003192,r_3881,"phosphatidylcholine (1-16:0, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003193,r_3882,"phosphatidylcholine (1-16:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003194,r_3883,"phosphatidylcholine (1-18:0, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003195,r_3884,"phosphatidylcholine (1-18:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",
1003196,r_3885,"phosphatidylethanolamine (1-16:0, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YAL026C
1003197,r_3886,"phosphatidylethanolamine (1-16:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YAL026C
1003198,r_3887,"phosphatidylethanolamine (1-18:0, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YAL026C
1003199,r_3888,"phosphatidylethanolamine (1-18:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YAL026C
1003200,r_3889,"phosphatidylethanolamine (1-16:0, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YAL026C
1003201,r_3890,"phosphatidylethanolamine (1-16:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YAL026C
1003202,r_3891,"phosphatidylethanolamine (1-18:0, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YAL026C
1003203,r_3892,"phosphatidylethanolamine (1-18:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YAL026C
1003204,r_3893,"phosphatidyl-L-serine (1-16:0, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YIL048W
1003205,r_3894,"phosphatidyl-L-serine (1-16:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YIL048W
1003206,r_3895,"phosphatidyl-L-serine (1-18:0, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YIL048W
1003207,r_3896,"phosphatidyl-L-serine (1-18:1, 2-16:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YIL048W
1003208,r_3897,"phosphatidyl-L-serine (1-16:0, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YIL048W
1003209,r_3898,"phosphatidyl-L-serine (1-16:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YIL048W
1003210,r_3899,"phosphatidyl-L-serine (1-18:0, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YIL048W
1003211,r_3900,"phosphatidyl-L-serine (1-18:1, 2-18:1) transport, ER membrane-cell envelope","Transport [ce, erm]",YIL048W
1003212,r_3901,"lignoceric acid transport, cell envelope-ER membrane","Transport [ce, erm]",
1003213,r_3902,"cerotic acid transport, cell envelope-ER membrane","Transport [ce, erm]",
1003214,r_3903,"phosphatidate (1-16:0, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003215,r_3904,"phosphatidate (1-16:1, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003216,r_3905,"phosphatidate (1-18:0, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003217,r_3906,"phosphatidate (1-18:1, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003218,r_3907,"phosphatidate (1-16:0, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003219,r_3908,"phosphatidate (1-16:1, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003220,r_3909,"phosphatidate (1-18:0, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003221,r_3910,"phosphatidate (1-18:1, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003222,r_3911,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003223,r_3912,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003224,r_3913,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003225,r_3914,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003226,r_3915,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:0, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003227,r_3916,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-16:1, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003228,r_3917,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:0, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003229,r_3918,"1-phosphatidyl-1D-myo-inositol 4-phosphate (1-18:1, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003230,r_3919,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003231,r_3920,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003232,r_3921,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003233,r_3922,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-16:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003234,r_3923,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:0, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003235,r_3924,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-16:1, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003236,r_3925,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:0, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003237,r_3926,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate (1-18:1, 2-18:1) transport, cell envelope-ER membrane","Transport [ce, erm]",
1003238,r_3927,"zymosteryl palmitoleate transport, ER membrane-cell envelope","Transport [ce, erm]",
1003239,r_3928,"zymosteryl oleate transport, ER membrane-cell envelope","Transport [ce, erm]",
1003240,r_3929,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1) transport, ER membrane-nucleus","Transport [erm, n]",
1003241,r_3930,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1) transport, ER membrane-nucleus","Transport [erm, n]",
1003242,r_3931,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1) transport, ER membrane-nucleus","Transport [erm, n]",
1003243,r_3932,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1) transport, ER membrane-nucleus","Transport [erm, n]",
1003244,r_3933,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1) transport, ER membrane-nucleus","Transport [erm, n]",
1003245,r_3934,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) transport, ER membrane-nucleus","Transport [erm, n]",
1003246,r_3935,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) transport, ER membrane-nucleus","Transport [erm, n]",
1003247,r_3936,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1) transport, ER membrane-nucleus","Transport [erm, n]",
1003248,r_3937,"lignoceric acid transport, ER membrane-ER","Transport [erm, er]",
1003249,r_3938,"cerotic acid transport, ER membrane-ER","Transport [erm, er]",
1003250,r_3939,"ergosterol transport, ER-ER membrane","Transport [erm, er]",
1003251,r_3940,"phosphate transport, ER-ER membrane","Transport [erm, er]",
1003252,r_3941,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-16:1) transport, vacuolar membrane-Golgi membrane","Transport [vm, gm]",
1003253,r_3942,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-16:1) transport, vacuolar membrane-Golgi membrane","Transport [vm, gm]",
1003254,r_3943,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-16:1) transport, vacuolar membrane-Golgi membrane","Transport [vm, gm]",
1003255,r_3944,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-16:1) transport, vacuolar membrane-Golgi membrane","Transport [vm, gm]",
1003256,r_3945,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:0, 2-18:1) transport, vacuolar membrane-Golgi membrane","Transport [vm, gm]",
1003257,r_3946,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-16:1, 2-18:1) transport, vacuolar membrane-Golgi membrane","Transport [vm, gm]",
1003258,r_3947,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:0, 2-18:1) transport, vacuolar membrane-Golgi membrane","Transport [vm, gm]",
1003259,r_3948,"1-phosphatidyl-1D-myo-inositol 3-phosphate (1-18:1, 2-18:1) transport, vacuolar membrane-Golgi membrane","Transport [vm, gm]",
1003260,r_3949,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-16:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
1003261,r_3950,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-16:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
1003262,r_3951,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-16:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
1003263,r_3952,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-16:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
1003264,r_3953,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:0, 2-18:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
1003265,r_3954,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-16:1, 2-18:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
1003266,r_3955,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:0, 2-18:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
1003267,r_3956,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate (1-18:1, 2-18:1) transport, vacuolar membrane-cell envelope","Transport [vm, ce]",
1003268,r_3957,"H+ transport, mitochondrion-mitochondrial membrane","Transport [m, mm]",
1003269,r_3958,"glycerol 3-phosphate transport, mitochondrion-mitochondrial membrane","Transport [m, mm]",
1003270,r_3959,"CMP transport, mitochondrion-mitochondrial membrane","Transport [m, mm]",YBR192W
1003271,r_3960,"CTP transport, mitochondrion-mitochondrial membrane","Transport [m, mm]",YBR192W
1003272,r_3961,"phosphate transport, mitochondrion-mitochondrial membrane","Transport [m, mm]",YER053C or YJR077C
1003273,r_3962,"diphosphate transport, mitochondrion-mitochondrial membrane","Transport [m, mm]",
1003274,r_3963,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1) [cytoplasm] SLIME rxn",SLIME reaction,
1003275,r_3964,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1) [cytoplasm] SLIME rxn",SLIME reaction,
1003276,r_3965,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1) [cytoplasm] SLIME rxn",SLIME reaction,
1003277,r_3966,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1) [cytoplasm] SLIME rxn",SLIME reaction,
1003278,r_3967,"1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1) [cytoplasm] SLIME rxn",SLIME reaction,
1003279,r_3968,"1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) [cytoplasm] SLIME rxn",SLIME reaction,
1003280,r_3969,"1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) [cytoplasm] SLIME rxn",SLIME reaction,
1003281,r_3970,"1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1) [cytoplasm] SLIME rxn",SLIME reaction,
1003282,r_3971,ergosteryl palmitoleate [endoplasmic reticulum membrane] SLIME rxn,SLIME reaction,
1003283,r_3972,ergosteryl oleate [endoplasmic reticulum membrane] SLIME rxn,SLIME reaction,
1003284,r_3973,"ergosterol ester transport, ER membrane-cytoplasm","Transport [c, erm]",
1003285,r_3975,palmitate [cytoplasm] SLIME rxn,SLIME reaction,
1003286,r_3976,palmitoleate [cytoplasm] SLIME rxn,SLIME reaction,
1003287,r_3977,stearate [cytoplasm] SLIME rxn,SLIME reaction,
1003288,r_3978,oleate [cytoplasm] SLIME rxn,SLIME reaction,
1003289,r_3979,"phosphatidyl-L-serine (1-16:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003290,r_3980,"phosphatidyl-L-serine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003291,r_3981,"phosphatidyl-L-serine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003292,r_3982,"phosphatidyl-L-serine (1-18:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003293,r_3983,"phosphatidyl-L-serine (1-16:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003294,r_3984,"phosphatidyl-L-serine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003295,r_3985,"phosphatidyl-L-serine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003296,r_3986,"phosphatidyl-L-serine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003297,r_3987,"phosphatidyl-L-serine transport, ER membrane-cytoplasm","Transport [c, erm]",
1003298,r_3988,"phosphatidylcholine (1-16:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003299,r_3989,"phosphatidylcholine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003300,r_3990,"phosphatidylcholine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003301,r_3991,"phosphatidylcholine (1-18:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003302,r_3992,"phosphatidylcholine (1-16:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003303,r_3993,"phosphatidylcholine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
1003304,r_3994,"phosphatidylcholine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn",SLIME reaction,
