gl_number,model_reaction_id,reaction_name,subsystem,gene_reaction_rule
1002224,r_2903,"PE (1-18:1, 2-16:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002225,r_2904,"PE (1-16:0, 2-18:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002226,r_2905,"PE (1-16:1, 2-18:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002227,r_2906,"PE (1-18:0, 2-18:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002228,r_2907,"PE (1-18:1, 2-18:1) diacylglycerol (1-18:0, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002229,r_2908,"PE (1-16:0, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002230,r_2909,"PE (1-16:1, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002231,r_2910,"PE (1-18:0, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002232,r_2911,"PE (1-18:1, 2-16:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002233,r_2912,"PE (1-16:0, 2-18:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002234,r_2913,"PE (1-16:1, 2-18:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
1002235,r_2914,"PE (1-18:0, 2-18:1) diacylglycerol (1-18:1, 2-16:1) acyltransferase, ER membrane",Glycerolipid metabolism,YNR008W
